No	Name		Year	Country	Score	Lasting
481	古墓丽影：源起之战	2018	美国	8.3	 118
482	前任2：备胎反击战	2015	中国大陆	8.3	 114
483	21克拉	2018	中国大陆	8.3	 96
484	反贪风暴2	2016	中国大陆	8.3	 95
485	谍影重重5	2016	美国	8.3	 124
486	阿尔法：狼伴归途	2018	美国	8.3	 97
487	金刚：骷髅岛	2017	美国	8.3	 119
488	说走就走之不说再见	2018	中国大陆	8.3	 106
489	火锅英雄	2016	中国大陆	8.3	 95
490	最后的巫师猎人	2016	美国	8.3	 106
491	临时演员	2017	中国大陆	8.3	 93
492	声之形	2017	日本	8.3	 111
493	樱桃小丸子：来自意大利的少年	2016	日本	8.3	 95
494	极盗者	2015	美国	8.3	 114
495	间谍同盟	2016	美国	8.3	 124
496	外公芳龄38	2016	中国大陆	8.3	 103
497	小门神	2016	中国大陆	8.3	 103
498	他是龙	2016	俄罗斯	8.3	 108
499	比利·林恩的中场战事	2016	美国	8.3	 113
500	哥斯拉	2014	美国	8.3	 123
501	太空救援	2018	俄罗斯	8.3	 104
502	我是你妈	2018	中国大陆	8.3	 104
503	单身男女2	2014	中国香港	8.3	 113
504	深海浩劫	2016	美国	8.3	 108
505	荡寇风云	2017	中国大陆	8.3	 129
506	忌日快乐	2018	美国	8.3	 96
507	大护法	2017	中国大陆	8.3	 93
508	致我们终将逝去的青春	2013	中国大陆	8.3	 132
509	谍影特工	2016	美国	8.3	 102
510	三只小猪2	2017	中国大陆	8.3	 70
511	战犬瑞克斯	2018	美国	8.3	 116
512	鲨滩	2016	美国	8.3	 86
513	爱上试睡师	2016	中国大陆	8.3	 94
514	大坏狐狸的故事	2018	法国	8.3	 83
515	回到火星	2017	美国	8.3	 120
516	飞鸟历险记	2018	法国	8.3	 91
517	麦兜我和我妈妈	2014	中国香港	8.3	 81
518	冰雪大作战	2017	加拿大	8.3	 83
519	小情书	2017	中国大陆	8.3	 100
520	分手合约	2013	中国大陆	8.3	 103
521	大闹天宫	2017	中国大陆	8.3	 88
522	恐袭波士顿	2017	美国	8.3	 131
523	蜡笔总动员	2015	美国	8.3	 78
524	喜羊羊与灰太狼之羊年喜羊羊	2015	中国大陆	8.3	 86
525	坏爸爸	2018	中国大陆	8.3	 92
526	新东方神娃	2016	中国大陆	8.3	 80
527	龙拳小子	2016	中国大陆	8.3	 98
528	我不是王毛	2016	中国大陆	8.3	 95
529	开心超人2：启源星之战	2014	中国大陆	8.3	 85
530	玩命直播	2017	美国	8.3	 96
531	击战	2016	中国大陆	8.3	 98
532	猪猪侠之勇闯巨人岛	2014	中国大陆	8.3	 88
533	兔侠之青黎传说	2015	中国大陆	8.3	 97
534	一路绽放	2017	中国大陆	8.3	 91
535	西藏天空	2015	中国大陆	8.3	 118
536	约定倒计时	2015	中国大陆	8.3	 92
537	20:16	2017	中国大陆	8.3	 100
538	蜘蛛侠：英雄归来	2017	美国	8.2	 133
539	猩球崛起3：终极之战	2017	美国	8.2	 140
